Date,Close,High,Low,Open,Volume,Price Range,Short MA,Long MA,Middle_Band,Upper_Band,Lower_Band
2015-06-01,222.92599487304688,231.71299743652344,221.29600524902344,230.23300170898438,26090500,"[178, 10178)",233.19076049804687,270.8860150909424,235.54750061035156,243.49355854059195,227.60144268011118
2015-06-02,225.80299377441406,226.41600036621094,222.41900634765625,222.8939971923828,20459000,"[178, 10178)",233.21508026123047,270.02594009399417,235.0188003540039,244.063613823735,225.9739868842728
2015-06-03,225.87399291992188,227.4040069580078,223.92999267578125,225.73599243164062,17752400,"[178, 10178)",233.3493801879883,269.2746450805664,234.4660499572754,244.3331571200535,224.5989427944973
2015-06-04,224.32400512695312,226.58099365234375,224.0540008544922,225.77200317382812,14728100,"[178, 10178)",233.35920043945313,268.45685516357423,233.8020004272461,244.5297109800083,223.0742898744839
2015-06-05,224.95199584960938,225.96800231933594,223.1790008544922,224.1540069580078,18056500,"[178, 10178)",233.2867803955078,267.6445751953125,233.24195022583007,244.60366046716464,221.8802399844955
2015-06-06,225.61900329589844,225.718994140625,224.37899780273438,225.0050048828125,11131500,"[178, 10178)",233.3415203857422,266.89668022155763,232.68280029296875,244.4019035619268,220.9636970240107
2015-06-07,222.88099670410156,226.19400024414062,222.65199279785156,225.5959930419922,13318400,"[178, 10178)",233.33202026367186,266.1083102416992,232.17044982910156,244.67711876437528,219.66378089382783
2015-06-08,228.48899841308594,229.46400451660156,222.83900451660156,222.87899780273438,23378400,"[178, 10178)",233.44980010986328,265.4615552520752,231.99754943847657,244.61236874295074,219.3827301340024
2015-06-09,229.04800415039062,230.95399475097656,227.9290008544922,228.53799438476562,28353100,"[178, 10178)",233.53824005126953,264.8525553131104,231.7490493774414,244.39206237214924,219.10603638273355
2015-06-10,228.80299377441406,229.78199768066406,228.00999450683594,228.9949951171875,15904800,"[178, 10178)",233.40891998291016,264.2319702148437,231.42199935913087,244.01175145737096,218.83224726089077
2015-06-11,229.7050018310547,230.28700256347656,228.76699829101562,228.85499572753906,14416000,"[178, 10178)",233.3195001220703,263.54263023376467,230.88984909057618,242.77079014255895,219.0089080385934
2015-06-12,229.98199462890625,231.0570068359375,229.31300354003906,229.7050018310547,14017700,"[178, 10178)",233.18989990234374,262.80803520202636,230.44534912109376,241.71853639699384,219.17216184519367
2015-06-13,232.40199279785156,232.65199279785156,229.2100067138672,229.9199981689453,13305300,"[178, 10178)",233.2125796508789,262.09330520629885,230.01779861450194,240.20978975461836,219.82580747438553
2015-06-14,233.54299926757812,234.85800170898438,232.00399780273438,232.44200134277344,12165900,"[178, 10178)",233.3556396484375,261.41917022705076,229.83944854736328,239.62564485931802,220.05325223540854
2015-06-15,236.822998046875,237.83599853515625,233.4219970703125,233.4219970703125,19912100,"[178, 10178)",233.70349975585938,260.7549351501465,229.82479858398438,239.5659029301132,220.08369423785555
2015-06-16,250.89500427246094,251.74200439453125,236.1219940185547,236.76499938964844,41612000,"[178, 10178)",234.13567993164062,260.1271752166748,230.50539855957032,243.72251419988297,217.28828291925768
2015-06-17,249.28399658203125,256.8529968261719,246.4759979248047,250.822998046875,43858400,"[178, 10178)",234.60425994873046,259.4961402130127,231.09919815063478,246.5075042156552,215.69089208561437
2015-06-18,249.0070037841797,252.10800170898438,244.1269989013672,249.42799377441406,30980200,"[178, 10178)",235.06824005126953,258.850940246582,231.69474868774415,248.89548214709453,214.49401522839378
2015-06-19,244.6060028076172,250.9770050048828,243.78700256347656,249.04299926757812,23965300,"[178, 10178)",235.23746002197265,258.1777452850342,232.25779876708984,250.39758633331274,214.11801120086693
2015-06-20,245.21200561523438,245.8280029296875,240.6269989013672,244.52999877929688,20608100,"[178, 10178)",235.50012023925783,257.4972303009033,233.00889892578124,252.0116641315076,214.0061337200549
2015-06-21,243.94400024414062,245.2239990234375,241.8820037841797,245.10000610351562,10600900,"[178, 10178)",235.680400390625,256.8419002532959,234.05979919433594,253.03941604572344,215.08018234294843
2015-06-22,246.99000549316406,247.91700744628906,243.7790069580078,243.968994140625,17692500,"[178, 10178)",235.8130404663086,256.2288302612305,235.11914978027343,254.51879026028598,215.71950930026088
2015-06-23,244.29600524902344,247.3040008544922,243.13299560546875,246.927001953125,15108700,"[178, 10178)",235.9186004638672,255.56604026794435,236.0402503967285,255.34073833759845,216.73976245585857
2015-06-24,240.51499938964844,244.34100341796875,240.51499938964844,244.28199768066406,17344900,"[178, 10178)",236.00648040771483,254.89469024658203,236.84980010986328,255.42574678493511,218.27385343479145
2015-06-25,242.7989959716797,243.33200073242188,240.36500549316406,240.36500549316406,16133100,"[178, 10178)",236.26682037353515,254.2332102203369,237.7421501159668,255.61286676979,219.8714334621436
2015-06-26,243.593994140625,243.74899291992188,241.55299377441406,242.60400390625,13983500,"[178, 10178)",236.39202026367187,253.64163520812988,238.64089965820312,255.7356222359644,221.54617708044185
2015-06-27,250.99000549316406,251.33900451660156,243.11700439453125,243.5489959716797,20488600,"[178, 10178)",236.5345602416992,253.13549026489258,240.04635009765624,256.28606989103633,223.80663030427615
2015-06-28,249.01100158691406,251.1719970703125,247.4340057373047,250.9550018310547,15137600,"[178, 10178)",236.67814025878906,252.64872032165528,241.07245025634765,256.82344245731076,225.3214580553845
2015-06-29,257.0639953613281,257.1730041503906,248.58099365234375,248.7209930419922,34742900,"[178, 10178)",237.01350006103516,252.18151023864746,242.47324981689454,258.69761589977185,226.24888373401723
